1	0.000006
2	0.000008
3	0.000012
5	0.000012
10	0.000071
15	0.000232
20	0.000533
25	0.001123
30	0.003667
35	0.002849
40	0.003521
45	0.004622
50	0.005671
60	0.008868
70	0.012249
80	0.015077
90	0.017778
100	0.020505
110	0.022157
120	0.024231
130	0.027207
140	0.034048
150	0.041844
160	0.052284
170	0.061083
180	0.072489
190	0.086794
200	0.103760
210	0.115127
220	0.132941
230	0.163863
240	0.181878
250	0.196305
260	0.225770
270	0.268395
280	0.330677
290	0.368245
300	0.413399
310	0.469325
320	0.553007
330	0.585243
340	0.650498
350	0.729804
360	0.833926
370	0.881249
380	0.989787
390	1.119830
400	1.175315
410	1.245037
420	1.396791
430	1.485058
440	1.611466
450	1.723086
460	1.871355
470	2.005403
480	2.100674
490	2.277207
500	2.432826
510	2.613386
520	2.764016
530	2.921897
540	3.127069
550	3.265670
560	3.417950
570	3.640057
580	3.839857
590	4.017240
600	4.228081
610	3.392807
620	3.627210
630	3.816554
640	3.973295
650	4.273790
660	5.687445
670	5.962152
680	5.034828
690	6.568876
700	5.603804
710	7.098800
720	6.110003
730	6.559776
740	6.758587
750	7.055748
760	7.381064
770	7.685767
780	8.042155
790	8.412479
800	8.542740
810	9.141972
820	9.604332
830	9.988657
840	10.384320
850	10.710365
860	9.518372
870	10.111435
880	10.362248
890	10.891398
900	11.423658
910	12.030070
920	12.377716
930	12.823856
940	13.283755
950	13.684989
960	13.967929
970	14.840053
980	15.460691
990	15.895608
1000	16.466247
